Epoch,Train Loss,Validation Loss,Train IoU,Validation IoU,Train Accuracy,Validation Accuracy
1,0.4775,0.219,0.7224,0.872,0.8548,0.9161
2,0.1856,0.1349,0.8802,0.9202,0.9305,0.9525
3,0.1239,0.1256,0.9049,0.9078,0.9447,0.9603
4,0.1066,0.1107,0.9108,0.8825,0.9483,0.9187
5,0.0872,0.0757,0.9278,0.9339,0.9576,0.9556
6,0.0788,0.0662,0.9329,0.9448,0.961,0.9649
7,0.0748,0.0649,0.9358,0.9447,0.9625,0.9712
8,0.0679,0.0787,0.9416,0.9225,0.9658,0.9639
9,0.0641,0.0619,0.9448,0.9433,0.9678,0.9641
10,0.0621,0.056,0.9458,0.9517,0.9684,0.9721
11,0.0591,0.06,0.949,0.9459,0.9701,0.966
12,0.0584,0.0527,0.948,0.9548,0.9696,0.9737
13,0.0568,0.0544,0.9497,0.9526,0.9706,0.9733
14,0.0547,0.1239,0.9522,0.9105,0.9721,0.9575
15,0.0563,0.0499,0.9499,0.9563,0.9707,0.9762
16,0.0521,0.0479,0.9544,0.9585,0.9733,0.9768
17,0.05,0.0505,0.9558,0.9574,0.9742,0.9762
18,0.0496,0.0457,0.956,0.9594,0.9743,0.9749
19,0.048,0.0493,0.9572,0.9542,0.9751,0.9725
20,0.0484,0.0445,0.9572,0.9603,0.975,0.9766
21,0.0466,0.0453,0.9585,0.9589,0.9758,0.9765
22,0.0473,0.0434,0.9582,0.9608,0.9755,0.9765
23,0.0461,0.0426,0.9589,0.9622,0.9761,0.9801
24,0.0439,0.0449,0.9609,0.9617,0.9773,0.9779
25,0.0439,0.047,0.961,0.9588,0.9774,0.9777
26,0.0444,0.0502,0.9596,0.9581,0.9765,0.976
27,0.0454,0.0408,0.9585,0.9634,0.976,0.978
28,0.0417,0.0405,0.9629,0.9634,0.9785,0.9776
29,0.0415,0.0406,0.9631,0.964,0.9786,0.9779
30,0.0409,0.0409,0.9633,0.9632,0.9787,0.9803
31,0.0394,0.0396,0.9649,0.9645,0.9797,0.9797
32,0.0406,0.0392,0.9634,0.9651,0.9789,0.9785
33,0.04,0.0398,0.9639,0.9646,0.9791,0.9786
34,0.0397,0.0387,0.9649,0.9665,0.9797,0.9808
35,0.039,0.0471,0.965,0.9531,0.9798,0.9758
36,0.0396,0.0406,0.9639,0.9621,0.9792,0.9772
37,0.0394,0.0385,0.9644,0.9653,0.9795,0.9785
38,0.0375,0.038,0.9668,0.9658,0.9807,0.9788
39,0.0366,0.0398,0.9669,0.9634,0.981,0.9829
40,0.0366,0.037,0.9673,0.9665,0.9812,0.9793
